2017/01/23 09:41:59 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/01/23 09:42:03 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-15 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread started:  1-16 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-16 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-16 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread started:  1-17 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-17 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-17 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread started:  1-18 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-18 
2017/01/23 09:42:04 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-18 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread started:  1-19 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-19 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-19 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread started:  1-20 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-20 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-20 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread started:  1-21 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-21 
2017/01/23 09:42:05 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-21 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread started:  1-22 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-22 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-22 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread started:  1-23 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-23 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-23 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread started:  1-24 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-24 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-24 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread started:  1-25 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-25 
2017/01/23 09:42:06 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-25 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread started:  1-26 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-26 
2017/01/23 09:42:07 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-26 
